target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
0,0,4438,0,0.9647,1.2956,1.4159,0.7265,1101,713,819,1208,782,686,284,400,0.9,0.6188,0.6188,0.9
2,1,593,1.1063,1.4382,1.6243,1.3392,1.5411,707,864,1225,1073,648,273,435,812,0.9,0.9,0.6188,0.6188
2,0,4542,0.2867,2.5442,3.0484,0.7448,1.3278,971,681,965,1245,825,540,251,542,0.9,0.9,0.6188,0.6188
1,1,572,1.7577,2.0866,2.297,0.5522,1.1576,1232,1028,699,881,470,811,623,256,0.6188,0.6188,0.9,0.9
0,0,978,0,1.9439,0.5368,0.283,0.769,806,714,1118,1189,782,379,309,696,0.6188,0.9,0.9,0.6188
3,0,647,0.1857,0.0642,0.4979,2.0785,1.8378,712,835,1209,1081,662,274,413,793,0.6188,0.6188,0.6188,0.9
1,1,874,2.1469,0.583,0.0751,1.275,2.7204,1155,755,769,1152,735,741,347,340,0.9,0.6188,0.6188,0.9
1,1,2395,1.9161,3.1168,1.2058,1.0783,2.2248,1152,1162,775,760,339,718,746,358,0.9,0.6188,0.6188,0.6188
4,0,639,0.1834,2.1085,1.6291,0.7582,1.3771,1164,1165,772,749,346,736,739,337,0.9,0.9,0.9,0.6188
0,0,546,0,1.9088,2.9733,2.3794,0.6543,1135,1176,781,737,323,723,752,363,0.6188,0.9,0.9,0.9
0,0,608,0,0.5038,3.0353,1.9,2.4351,1100,1203,812,713,293,688,776,389,0.6188,0.6188,0.9,0.6188
1,0,484,2.8686,0.2779,0.0791,2.6225,0.4629,1093,714,842,1211,782,669,292,421,0.6188,0.6188,0.9,0.9
0,1,1038,0,2.0643,2.4169,0.3599,0.8294,1215,862,694,1069,635,792,430,276,0.6188,0.9,0.6188,0.6188
3,1,1776,1.9262,2.268,1.6634,0.8811,0.3941,745,773,1180,1140,735,336,340,744,0.9,0.6188,0.9,0.6188
4,0,765,2.1599,2.9715,1.0787,1.7038,1.0982,956,1248,947,669,256,549,825,541,0.6188,0.6188,0.9,0.9
0,0,1347,0,0.0384,0.089,0.3188,2.6485,780,737,1129,1187,775,360,314,716,0.6188,0.9,0.6188,0.9
3,0,8209,1.7313,1.4062,0.2595,0.821,1.4847,855,1223,1074,698,280,426,802,647,0.9,0.6188,0.9,0.9
0,0,614,0,0.5068,1.4806,2.9447,0.4265,1246,904,691,1014,603,806,482,258,0.9,0.6188,0.6188,0.6188
0,0,450,0,1.8746,2.6539,2.8556,0.4529,1061,1226,851,705,269,645,796,436,0.6188,0.9,0.6188,0.9
4,0,1108,0.1236,1.09,1.6903,0.6465,1.5646,712,810,1200,1103,674,305,395,778,0.9,0.9,0.6188,0.9
0,0,556,0,0.8464,0.3922,0.7427,0.8073,834,717,1108,1209,779,397,283,667,0.9,0.9,0.9,0.9
0,0,586,0,2.3244,1.2095,2.0701,0.0611,1130,1188,786,734,297,696,779,366,0.9,0.6188,0.9,0.9
0,1,744,0,2.1586,2.9233,1.313,2.557,848,1233,1053,686,269,439,800,653,0.9,0.6188,0.6188,0.9
0,0,638,0,2.9604,1.0117,2.9029,1.9691,1195,1142,737,786,372,755,723,314,0.9,0.9,0.9,0.6188
0,1,2416,0,0.2728,1.132,0.3444,1.2548,1252,978,670,927,517,821,572,253,0.6188,0.9,0.6188,0.9
0,0,2052,0,3.0203,0.4838,2.3089,3.1178,904,1240,1014,691,259,477,815,599,0.9,0.9,0.9,0.9
3,1,799,1.0154,2.8324,2.4495,0.6869,1.99,1236,1015,685,883,484,812,611,270,0.9,0.9,0.9,0.6188
4,0,1460,0.2564,3.0093,0.4077,2.0995,1.1941,1036,1242,897,691,276,607,809,481,0.9,0.9,0.6188,0.9
0,0,2230,0,2.6278,2.5746,0.9523,2.5574,903,676,1004,1233,820,484,263,588,0.6188,0.9,0.6188,0.9
0,0,721,0,2.1789,2.6022,0.6881,0.7855,1126,1189,811,720,304,691,780,393,0.9,0.9,0.6188,0.6188
0,0,584,0,2.7433,1.024,2.8406,2.0367,809,1196,1098,715,285,401,775,683,0.9,0.6188,0.6188,0.9
3,1,1382,0.6332,2.9491,0.2453,2.9854,0.7606,680,907,1234,1009,597,259,491,817,0.6188,0.6188,0.6188,0.9
4,0,731,1.7364,0.6471,2.1414,1.729,2.4597,686,994,1247,925,497,253,571,824,0.9,0.6188,0.6188,0.9
4,0,1554,2.4648,2.4686,2.2183,3.0861,2.1714,698,890,1234,1039,632,279,461,816,0.6188,0.6188,0.6188,0.9
0,0,856,0,0.5067,0.8056,3.0493,0.6412,1128,722,791,1183,765,706,295,392,0.9,0.6188,0.6188,0.6188
0,0,954,0,0.3981,1.2094,3.0304,0.7119,681,1021,1242,907,474,265,587,809,0.9,0.9,0.6188,0.6188
0,0,432,0,0.0928,2.2924,2.145,1.6163,1224,868,687,1060,634,814,445,280,0.6188,0.6188,0.6188,0.9
1,1,812,0.9989,1.2904,2.64,2.8787,1.822,1191,800,720,1120,702,767,381,294,0.6188,0.6188,0.9,0.6188
4,0,1072,2.8221,1.3996,1.8028,0.3372,0.347,941,666,980,1231,820,523,256,567,0.9,0.6188,0.6188,0.6188
0,1,937,0,2.9326,0.3365,2.7571,1.2765,747,784,1167,1151,719,327,363,766,0.9,0.9,0.6188,0.9
0,0,1344,0,2.1896,1.3903,0.553,2.9963,927,688,989,1236,821,513,262,581,0.6188,0.6188,0.9,0.9
0,0,687,0,0.4619,0.3375,3.0082,2.8305,1218,868,689,1043,630,809,450,271,0.6188,0.6188,0.9,0.9
0,0,696,0,1.0248,0.4957,2.545,2.533,1234,1075,704,857,444,805,657,284,0.9,0.6188,0.6188,0.6188
1,0,928,0.2789,1.5437,1.9705,1.9013,1.8204,1206,1084,714,836,402,782,680,284,0.6188,0.6188,0.6188,0.6188
0,0,679,0,2.2725,1.5453,1.764,2.3733,1020,674,894,1231,817,590,263,477,0.6188,0.6188,0.9,0.6188
4,1,808,1.8701,1.5311,1.3205,2.1402,3.1238,1001,681,923,1233,819,575,252,513,0.9,0.6188,0.6188,0.6188
1,1,1180,0.4868,0.0103,1.8962,2.9599,0.2736,689,918,1247,1008,587,251,505,811,0.6188,0.6188,0.6188,0.6188
0,0,1034,0,0.0973,2.0317,0.1768,2.3182,990,684,931,1246,833,579,261,520,0.9,0.6188,0.6188,0.6188
4,0,3741,0.4686,1.9219,0.0581,3.0103,0.1723,1017,680,911,1243,813,600,264,494,0.6188,0.9,0.9,0.9
1,1,740,1.2509,0.8264,0.5787,2.1921,0.3893,734,786,1185,1121,698,321,365,781,0.6188,0.9,0.9,0.9
1,0,874,0.4427,3.0892,0.1972,2.3466,0.9522,1210,1067,699,842,429,790,642,269,0.6188,0.6188,0.6188,0.9
3,0,1060,0.1058,2.5327,1.7165,2.1668,2.133,1227,841,690,1077,644,793,439,276,0.9,0.6188,0.6188,0.6188
0,0,926,0,1.3218,1.2447,0.325,1.5023,1237,910,669,1017,596,826,504,270,0.6188,0.9,0.9,0.9
1,0,1109,0.7191,0.6697,0.8849,2.1528,2.3962,740,1122,1173,798,372,306,720,769,0.6188,0.6188,0.9,0.9
0,0,613,0,0.4433,1.7098,2.7302,2.9603,878,1224,1038,698,256,456,806,616,0.6188,0.9,0.6188,0.6188
0,0,1849,0,2.1389,1.3594,1.5246,2.2631,713,1079,1218,855,423,294,660,790,0.9,0.6188,0.6188,0.6188
1,1,2012,2.2606,0.9939,3.0492,2.7904,2.5826,1182,1142,726,796,361,771,714,306,0.6188,0.9,0.6188,0.9
1,1,2864,0.4698,1.307,2.6736,2.7881,1.5135,798,721,1123,1211,777,386,304,690,0.9,0.6188,0.9,0.9
4,0,1202,0.3866,0.4672,2.779,1.1142,1.8294,1110,1197,804,713,299,692,786,402,0.6188,0.9,0.9,0.6188
1,1,1070,1.7429,2.6306,1.5371,0.3226,1.8186,726,800,1200,1116,707,297,376,770,0.6188,0.6188,0.6188,0.6188
0,0,1008,0,1.2816,1.9619,1.9067,2.5299,1113,1204,816,727,309,682,770,384,0.9,0.9,0.6188,0.6188
3,0,1124,0.8941,1.4854,1.0024,1.2165,2.219,1127,722,795,1177,760,714,318,368,0.9,0.9,0.6188,0.9
2,1,820,2.0444,1.3693,0.8206,2.9346,0.5604,970,677,953,1239,831,544,246,536,0.6188,0.9,0.9,0.6188
4,0,688,2.9008,2.8786,1.6079,0.7998,1.271,1043,692,896,1225,825,611,276,464,0.6188,0.6188,0.9,0.9
0,1,4440,0,1.6819,1.1283,1.7222,0.2856,682,1037,1227,901,467,274,614,816,0.6188,0.6188,0.6188,0.9
1,0,1115,2.4548,2.8902,1.5563,0.568,1.4873,826,711,1086,1211,797,415,278,659,0.6188,0.6188,0.6188,0.6188
0,0,683,0,2.2074,2.3403,1.8203,2.9812,811,727,1124,1185,767,392,311,710,0.6188,0.6188,0.6188,0.6188
0,0,812,0,1.6742,3.0072,2.1845,1.4687,678,1032,1230,871,464,266,615,818,0.6188,0.9,0.6188,0.6188
1,0,760,2.9037,1.3365,0.944,0.8545,2.0601,1236,935,688,988,563,830,511,248,0.9,0.9,0.9,0.9
2,0,1078,1.0065,2.8889,2.2838,0.4579,0.6527,951,1255,968,674,246,538,812,565,0.6188,0.6188,0.9,0.6188
4,1,1728,1.6692,2.6068,0.8096,2.7232,2.9879,874,1237,1041,694,272,464,803,629,0.6188,0.9,0.6188,0.6188
2,0,567,2.6969,1.7266,1.3034,2.528,0.4982,1242,958,670,953,541,828,527,267,0.9,0.6188,0.9,0.6188
0,0,413,0,0.3847,0.0173,0.0447,3.0572,741,1138,1185,769,356,312,721,769,0.9,0.9,0.6188,0.6188
3,0,417,2.7153,1.6976,1.2553,2.3734,2.6137,1058,1228,854,687,267,638,814,432,0.9,0.9,0.6188,0.6188
4,0,725,1.524,2.0838,2.0519,2.8893,1.9074,869,692,1069,1234,816,437,270,646,0.9,0.6188,0.9,0.6188
1,0,580,1.7914,0.7031,1.0478,0.1578,0.5219,773,1171,1131,740,317,366,769,713,0.9,0.6188,0.6188,0.9
0,0,418,0,0.3832,2.948,0.0217,0.5106,1157,1151,763,757,344,753,726,342,0.6188,0.6188,0.6188,0.6188
0,0,494,0,1.3077,1.0115,0.3899,2.351,705,1071,1209,834,432,285,664,801,0.9,0.6188,0.6188,0.9
4,1,3334,2.5741,2.1701,0.485,1.3927,0.5044,797,1197,1124,727,317,380,774,706,0.6188,0.9,0.6188,0.6188
0,0,854,0,1.3603,2.6396,2.1476,0.9542,747,1144,1163,758,332,345,727,734,0.6188,0.9,0.6188,0.9
