target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
0,1,631,0,0.6278,1.908,1.706,0.51,943,686,979,1246,820,524,265,542,0.6877,0.6877,0.9,0.6877
0,0,715,0,0.0189,2.5193,1.5627,1.6897,1156,772,765,1146,739,754,350,330,0.6877,0.9,0.9,0.9
1,1,435,2.2118,1.6056,0.0872,3.1114,1.5737,720,1091,1214,825,396,303,678,795,0.6877,0.9,0.9,0.6877
1,0,470,0.3751,2.8988,1.7727,1.3555,1.0614,1241,1015,685,911,483,809,595,273,0.9,0.6877,0.6877,0.9
0,0,471,0,2.9748,1.6025,2.4878,1.4205,1202,793,729,1132,715,773,384,302,0.6877,0.6877,0.9,0.9
0,0,457,0,1.103,0.1706,2.2265,3.1194,722,804,1208,1105,690,304,395,783,0.6877,0.6877,0.9,0.6877
0,1,475,0,1.1989,1.7834,2.7893,2.6482,1139,735,796,1187,772,707,316,378,0.9,0.6877,0.6877,0.6877
0,0,332,0,2.5959,3.114,1.646,2.9073,1242,972,673,941,516,832,555,251,0.6877,0.6877,0.9,0.9
4,0,475,0.2947,2.3844,3.1207,1.1206,2.3652,784,734,1149,1182,758,356,321,725,0.6877,0.6877,0.6877,0.9
4,1,445,0.6564,1.2239,2.4357,0.5635,0.3436,1116,734,806,1191,767,695,317,385,0.9,0.6877,0.9,0.6877
4,0,751,1.0215,0.5471,2.289,1.6785,0.795,1097,713,818,1199,793,679,299,403,0.9,0.6877,0.9,0.9
0,0,366,0,0.7599,2.3871,0.914,0.8716,942,680,982,1242,833,518,247,548,0.6877,0.9,0.9,0.6877
1,0,452,1.3285,2.5664,0.5952,0.3886,2.5792,1181,1153,747,775,349,754,718,330,0.9,0.9,0.9,0.9
0,0,383,0,0.1025,1.0429,2.3523,2.0243,715,819,1214,1086,684,291,393,799,0.6877,0.9,0.6877,0.9
3,1,676,1.2361,1.1772,1.3727,0.956,0.9138,677,936,1235,975,546,261,529,832,0.9,0.9,0.9,0.6877
2,0,437,2.1838,0.4391,2.3623,0.7596,2.0435,1175,782,729,1125,722,762,362,317,0.9,0.6877,0.9,0.9
0,1,768,0,1.795,1.9751,2.7576,2.0808,1165,768,750,1168,738,744,333,342,0.6877,0.9,0.6877,0.9
0,0,542,0,0.6446,1.3796,0.0856,2.7526,1149,1180,772,739,319,712,765,361,0.6877,0.9,0.6877,0.9
2,1,540,0.4798,2.618,0.64,1.7103,2.7487,772,745,1151,1167,755,337,345,723,0.9,0.9,0.6877,0.6877
1,1,699,2.5815,0.7821,1.214,1.3554,2.6103,1223,830,709,1098,664,781,408,284,0.9,0.9,0.9,0.9
0,0,588,0,2.4129,0.7323,1.8453,1.4419,1182,768,740,1142,713,759,349,312,0.9,0.9,0.6877,0.9
3,1,496,2.4817,1.1965,1.9936,1.1411,1.2806,742,1155,1158,770,354,333,725,749,0.6877,0.6877,0.6877,0.6877
1,1,425,1.4875,0.7972,0.4166,1.7122,2.6006,1210,809,709,1111,683,788,400,287,0.9,0.6877,0.6877,0.6877
0,0,469,0,3.1183,1.4321,1.3384,0.6698,688,865,1217,1056,633,277,442,813,0.6877,0.9,0.6877,0.9
0,0,407,0,1.8643,1.8384,2.0976,2.0358,839,1226,1084,702,273,420,807,647,0.6877,0.6877,0.9,0.9
2,0,491,1.0131,3.0657,1.745,2.6587,1.282,904,1231,1018,680,254,475,822,618,0.9,0.9,0.9,0.6877
1,0,331,2.708,2.4188,2.6062,2.2182,1.8703,1231,966,668,976,538,815,527,254,0.9,0.6877,0.6877,0.9
0,0,419,0,1.8893,2.4807,2.5107,0.1557,686,1022,1244,909,471,268,607,827,0.9,0.9,0.6877,0.6877
0,0,407,0,1.4555,2.5785,2.9905,0.2396,1223,1036,684,890,471,805,616,275,0.6877,0.9,0.9,0.6877
0,0,867,0,1.0748,2.5671,1.6703,1.6372,1237,920,691,1007,586,808,506,263,0.9,0.9,0.6877,0.9
0,0,341,0,0.6508,1.016,0.3483,1.1788,702,1094,1211,818,399,285,685,788,0.9,0.6877,0.9,0.6877
0,1,875,0,0.8999,2.1587,0.4434,1.6088,1249,1005,686,919,493,820,594,258,0.9,0.6877,0.9,0.6877
3,1,429,1.8473,2.7377,1.5947,2.4782,1.4861,1220,828,720,1090,671,788,401,296,0.6877,0.6877,0.9,0.9
