target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
3,0,1658,3.0953,2.2253,1.681,3.1309,0.6854,705,1092,1200,822,407,306,686,795,0.7059,0.7059,0.7059,0.9
0,1,1812,0,1.7014,1.3626,2.3533,0.8864,1032,699,878,1234,805,626,274,475,0.7059,0.9,0.7059,0.7059
0,0,736,0,1.3062,0.0128,2.7048,3.0863,871,1225,1040,690,269,457,807,620,0.7059,0.7059,0.7059,0.7059
2,1,1006,0.1521,1.1039,0.2095,1.0131,3.016,1215,841,705,1073,662,804,437,288,0.7059,0.7059,0.9,0.7059
2,1,1378,0.3238,0.1196,0.2404,0.683,2.1594,1164,770,745,1144,715,754,346,318,0.9,0.9,0.7059,0.9
0,0,1696,0,1.5758,1.2823,2.6886,2.2847,736,1119,1198,792,387,319,701,768,0.9,0.7059,0.7059,0.9
4,1,1416,2.1451,1.901,0.7163,3.0359,1.98,684,858,1236,1066,646,278,439,801,0.9,0.9,0.7059,0.7059
2,0,1180,2.552,1.8402,2.6583,0.7634,1.2684,1229,1024,688,881,455,823,617,256,0.7059,0.7059,0.7059,0.9
2,1,834,0.9747,3.0143,0.9946,1.6029,0.1827,1156,1165,764,758,327,743,750,335,0.9,0.7059,0.9,0.7059
3,1,821,3.0066,0.5312,2.6658,2.1521,2.9027,1173,1148,747,773,347,749,720,334,0.9,0.7059,0.7059,0.9
4,1,872,1.3337,3.0668,2.2243,2.8745,1.9026,1243,952,685,963,552,835,523,265,0.7059,0.7059,0.7059,0.7059
3,1,2258,0.3289,0.4829,1.3537,1.0248,2.2158,1046,688,867,1233,806,624,268,457,0.9,0.9,0.9,0.7059
4,0,1316,3.0637,0.1662,2.1343,3.1388,0.4862,1185,1128,740,794,370,769,703,299,0.7059,0.7059,0.9,0.7059
3,1,844,1.7945,0.2708,2.9494,1.8851,2.0927,1240,918,689,993,576,828,505,249,0.7059,0.9,0.9,0.7059
0,1,1350,0,2.4073,1.6581,2.6774,2.0534,831,1204,1085,694,278,428,784,673,0.9,0.7059,0.9,0.7059
4,1,1948,0.819,0.5761,1.1241,2.9087,0.4456,968,667,933,1249,826,567,249,519,0.9,0.9,0.7059,0.7059
0,0,723,0,0.2175,3.134,2.9455,1.7123,1185,778,727,1134,712,773,378,324,0.7059,0.9,0.7059,0.9
0,0,1274,0,2.8707,2.9843,1.9849,0.6333,1181,793,735,1139,711,757,354,317,0.9,0.7059,0.9,0.7059
2,1,780,0.3963,0.3141,0.7949,2.3528,0.4658,677,1033,1234,905,479,260,607,827,0.7059,0.7059,0.7059,0.7059
