target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
0,0,1432,0,0.0693,2.6689,2.5372,1.7052,839,1216,1071,705,285,423,798,662,0.6001,0.9,0.9,0.9
0,1,1046,0,0.3624,0.2698,0.4858,2.5201,1014,677,905,1246,827,602,254,467,0.9,0.6001,0.9,0.9
2,1,768,1.0482,2.4899,1.8443,0.2488,0.606,1235,915,681,1015,597,811,491,268,0.6001,0.9,0.6001,0.6001
4,0,862,2.9782,2.1335,2.5043,0.7401,2.3632,1087,703,829,1219,781,667,296,415,0.9,0.9,0.6001,0.9
2,1,2031,1.8942,0.5496,1.1181,2.7912,0.2173,814,712,1115,1199,783,376,315,689,0.6001,0.6001,0.9,0.9
0,0,738,0,2.1067,0.7099,2.5949,1.0182,940,1238,978,669,249,520,821,557,0.6001,0.9,0.6001,0.6001
4,0,1112,3.0226,1.6253,0.8034,2.6792,2.5862,920,671,990,1250,817,503,263,559,0.9,0.9,0.6001,0.9
4,1,1064,0.0621,2.1369,0.899,0.0967,0.8936,786,736,1144,1178,763,366,334,717,0.9,0.6001,0.6001,0.6001
0,1,1385,0,0.3237,0.1521,0.5834,1.4855,955,683,968,1234,824,515,262,562,0.9,0.6001,0.9,0.6001
3,0,1030,2.8436,0.6387,0.5629,0.9623,2.6713,1002,1229,908,684,272,573,822,487,0.9,0.6001,0.9,0.6001
2,0,720,2.7576,2.0928,1.3492,2.6688,2.0553,980,1249,952,670,264,555,828,535,0.9,0.9,0.9,0.6001
3,1,2072,1.7879,0.6314,2.8363,2.8018,1.1865,688,964,1239,950,543,256,539,820,0.9,0.9,0.6001,0.9
0,0,929,0,2.7945,3.1096,1.0168,3.1021,1157,1184,773,747,331,724,744,361,0.9,0.9,0.9,0.6001
0,0,1048,0,1.1815,1.3087,1.9468,2.0845,1183,1135,754,782,363,746,728,317,0.6001,0.9,0.9,0.9
1,1,1282,2.6118,1.9328,0.9263,1.6282,2.3214,1248,962,668,944,526,825,543,260,0.6001,0.9,0.6001,0.9
0,0,1138,0,2.145,0.3276,0.2623,0.0421,1110,714,830,1206,778,674,282,409,0.6001,0.9,0.6001,0.9
0,0,833,0,1.9351,1.7717,2.0994,1.0538,886,681,1017,1233,812,478,263,611,0.9,0.9,0.6001,0.9
1,1,988,1.4037,0.6329,0.2118,0.0005,1.9994,1219,877,687,1056,639,819,452,265,0.9,0.6001,0.6001,0.9
2,1,1024,2.2061,1.325,2.2078,1.4787,1.2846,973,681,950,1234,815,548,248,516,0.9,0.6001,0.9,0.6001
0,0,1460,0,2.3853,0.7348,0.9071,0.0713,691,1043,1242,876,464,278,623,815,0.6001,0.6001,0.9,0.6001
0,0,782,0,2.4496,1.2462,1.1223,2.0718,787,1184,1147,732,320,372,755,712,0.6001,0.9,0.9,0.9
0,0,2754,0,2.2218,0.7506,0.5522,0.7482,684,1008,1228,907,471,262,611,826,0.6001,0.9,0.6001,0.6001
3,0,2384,2.5167,3.0285,1.0941,1.8802,2.2977,1174,774,747,1147,738,736,342,333,0.9,0.6001,0.6001,0.9
