target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
4,1,657,0.8372,0.0895,0.8289,2.3517,1.3535,1058,679,869,1225,813,616,262,450,0.5788,0.5788,0.9,0.5788
3,0,2619,1.4181,0.2712,0.562,0.5979,0.3116,1105,733,813,1196,789,681,295,394,0.9,0.9,0.5788,0.9
3,1,759,2.0844,0.3765,1.0167,2.7212,2.1211,687,948,1243,976,567,253,523,812,0.5788,0.9,0.5788,0.9
4,1,477,0.8921,1.4679,1.6804,0.2548,0.4353,896,692,1013,1245,816,490,260,595,0.5788,0.9,0.9,0.9
3,0,823,1.4974,1.2631,0.5872,1.2232,2.7807,1112,1182,796,715,316,703,779,372,0.5788,0.9,0.5788,0.5788
0,1,1130,0,2.5561,1.086,2.6041,2.2775,708,1111,1197,813,383,306,682,770,0.5788,0.9,0.5788,0.5788
0,0,825,0,2.0524,2.8953,0.9184,3.0373,1243,915,684,1023,589,811,476,255,0.5788,0.9,0.5788,0.9
0,0,477,0,2.1268,2.6187,0.1335,3.029,762,766,1164,1157,733,334,348,750,0.5788,0.5788,0.5788,0.5788
2,1,566,0.7945,0.5515,2.7321,0.4919,2.865,674,940,1253,989,573,263,499,819,0.5788,0.9,0.5788,0.5788
0,0,1555,0,2.1787,2.3779,2.854,0.1957,1247,894,691,1027,592,816,476,271,0.9,0.5788,0.9,0.5788
0,0,513,0,2.397,1.7808,1.884,1.8576,1017,674,893,1229,806,617,265,474,0.9,0.9,0.5788,0.5788
0,0,521,0,0.8453,1.8592,2.7216,2.9077,1045,684,868,1233,806,621,273,459,0.9,0.5788,0.9,0.5788
0,0,665,0,0.1894,1.4295,2.7628,1.0928,845,1213,1066,700,273,439,807,656,0.9,0.9,0.5788,0.9
1,1,603,1.6696,2.6783,2.1076,3.0435,0.009,829,712,1106,1219,781,416,296,687,0.9,0.5788,0.9,0.5788
0,0,728,0,2.3029,0.2929,2.4679,2.9054,1083,1212,841,689,289,653,791,419,0.5788,0.9,0.9,0.9
0,0,567,0,0.5707,1.2058,2.6298,2.393,979,683,940,1253,820,554,247,514,0.9,0.5788,0.5788,0.5788
3,0,1053,2.5983,0.5195,1.9075,1.9323,2.9139,1036,693,890,1245,808,606,266,472,0.5788,0.9,0.9,0.9
0,0,1031,0,2.8766,0.4529,0.3269,2.9521,1251,996,676,945,507,834,568,256,0.5788,0.9,0.9,0.5788
0,0,499,0,2.4239,1.1717,1.3697,3.0998,1121,724,790,1189,756,717,312,361,0.5788,0.5788,0.5788,0.9
0,0,635,0,1.8176,0.8659,1.1383,1.6787,1068,694,847,1215,808,647,274,431,0.5788,0.9,0.9,0.5788
4,1,423,1.1089,1.6927,0.0395,0.4937,1.1047,1247,927,672,1004,583,811,511,252,0.9,0.5788,0.9,0.9
0,0,754,0,1.9239,1.1108,0.6549,0.241,1113,1199,826,723,288,673,777,394,0.9,0.9,0.5788,0.9
1,1,1080,1.8491,3.0079,0.0672,2.9687,2.8963,1150,1188,769,741,329,711,759,358,0.5788,0.9,0.9,0.5788
2,1,7009,1.8837,1.8737,1.0922,1.398,0.459,711,827,1204,1093,675,290,425,782,0.5788,0.5788,0.9,0.5788
0,0,1789,0,1.189,1.3648,1.6743,0.1631,673,920,1229,983,582,269,512,832,0.5788,0.9,0.5788,0.9
0,0,746,0,1.6563,1.143,0.2203,0.7799,849,707,1065,1229,798,433,282,648,0.9,0.9,0.9,0.9
4,0,425,0.1367,1.0434,1.7312,3.1305,2.096,1149,747,790,1177,764,719,322,363,0.9,0.9,0.9,0.9
1,1,468,0.6792,2.2264,0.1304,1.3721,2.1374,1041,1226,872,682,271,628,817,443,0.9,0.5788,0.9,0.5788
0,1,2246,0,1.4137,1.0178,2.7358,2.775,715,1117,1206,798,380,302,699,785,0.5788,0.9,0.5788,0.9
3,0,1577,1.9605,1.6082,1.9368,2.6155,0.0332,988,1237,916,685,253,590,817,505,0.9,0.5788,0.5788,0.5788
0,1,1078,0,1.8297,2.8559,2.8223,1.4336,708,834,1212,1072,664,293,421,801,0.9,0.5788,0.5788,0.9
4,1,527,2.1119,2.7417,1.1784,2.5083,2.566,957,668,962,1243,834,537,255,545,0.9,0.9,0.5788,0.9
0,0,1310,0,1.9012,0.988,0.4237,2.9158,1022,687,893,1222,804,612,263,465,0.9,0.9,0.5788,0.5788
3,1,565,0.4395,0.3125,0.0129,1.7646,1.1199,849,1221,1071,698,281,434,793,660,0.9,0.9,0.9,0.5788
2,0,1467,2.2319,2.1364,0.0889,2.6763,0.8866,825,1222,1086,719,295,409,799,663,0.5788,0.5788,0.5788,0.9
0,0,685,0,2.4899,2.5101,0.6441,1.5447,1200,804,737,1115,696,767,377,299,0.5788,0.5788,0.9,0.5788
1,0,823,0.6862,0.9506,0.7986,2.2971,2.0033,1014,678,915,1239,814,579,264,497,0.5788,0.9,0.5788,0.9
0,0,746,0,0.9406,2.4271,1.1165,0.2831,1249,994,682,930,497,825,570,256,0.5788,0.5788,0.9,0.5788
0,0,409,0,2.1529,1.2756,3.1259,2.6323,688,959,1248,958,538,265,537,824,0.9,0.5788,0.9,0.5788
0,0,893,0,1.1448,1.7652,0.9061,2.2578,702,1104,1202,814,395,294,666,799,0.9,0.5788,0.5788,0.9
3,0,493,0.5018,2.3701,1.7777,2.4437,2.3065,1028,677,891,1235,820,605,255,488,0.5788,0.5788,0.5788,0.5788
0,0,510,0,1.121,2.1711,0.1729,1.0269,1136,1165,765,744,323,717,766,361,0.5788,0.9,0.9,0.9
0,0,686,0,1.2059,0.1846,2.2441,2.4445,1231,1028,691,899,491,809,592,256,0.5788,0.5788,0.5788,0.5788
0,0,1079,0,3.0288,1.8822,2.9571,2.3908,785,731,1140,1171,762,347,313,716,0.9,0.9,0.5788,0.5788
0,0,713,0,1.2501,1.6186,2.2986,1.738,995,677,940,1231,829,559,264,521,0.9,0.9,0.5788,0.5788
2,1,601,1.3967,1.0806,0.7827,1.0861,3.0988,1170,1151,750,763,338,730,753,349,0.5788,0.5788,0.5788,0.9
2,1,653,0.977,2.5621,1.743,1.3463,0.9183,1238,874,690,1058,643,796,445,282,0.5788,0.9,0.9,0.5788
3,0,1184,2.7509,0.9933,2.9825,2.6696,2.4366,696,1056,1234,869,457,271,617,816,0.5788,0.5788,0.9,0.9
3,0,645,0.2331,0.859,2.3895,2.9491,0.0481,842,693,1082,1212,802,419,284,652,0.9,0.5788,0.9,0.9
3,0,640,2.6846,1.3385,0.4486,3.1043,2.6644,1076,714,848,1220,801,653,295,406,0.9,0.5788,0.5788,0.5788
1,1,819,3.0353,2.8808,1.5858,1.8197,0.1624,681,992,1242,920,514,251,567,819,0.9,0.9,0.5788,0.5788
2,0,991,0.2012,0.8901,2.01,0.1186,2.3788,707,855,1220,1067,644,276,443,797,0.5788,0.9,0.9,0.5788
0,0,1267,0,3.1079,0.6996,1.156,2.2405,900,690,1008,1245,830,485,254,600,0.5788,0.5788,0.9,0.5788
4,0,917,0.9865,1.9726,2.4392,2.7269,0.0831,1139,1161,775,742,319,716,763,361,0.5788,0.5788,0.5788,0.5788
2,0,941,0.0476,0.4109,0.5352,0.2074,1.179,1251,1008,680,921,497,832,590,269,0.5788,0.5788,0.5788,0.5788
0,0,660,0,1.1348,1.7168,1.1242,2.9561,856,1227,1060,689,282,455,808,647,0.5788,0.5788,0.9,0.9
3,1,542,1.8509,0.1388,1.0812,2.1149,0.1782,862,705,1065,1220,811,455,271,628,0.9,0.5788,0.5788,0.5788
3,0,1045,0.5496,1.9735,3.018,0.7532,0.9991,689,1015,1234,899,468,257,594,818,0.9,0.9,0.5788,0.9
1,1,519,1.7627,2.237,1.2772,0.7632,1.6629,1228,884,696,1038,615,803,456,262,0.9,0.5788,0.9,0.5788
0,0,1223,0,3.1063,1.5971,0.5994,1.7001,667,958,1243,953,535,253,550,815,0.9,0.9,0.9,0.5788
1,1,1099,2.7372,1.9249,2.911,2.3191,0.0165,869,1235,1035,695,277,455,806,625,0.9,0.5788,0.5788,0.5788
1,1,1139,0.7622,2.2523,0.9463,2.218,2.8752,1227,1029,696,881,450,804,614,258,0.9,0.5788,0.5788,0.9
4,1,602,0.9605,0.8943,1.8063,2.5338,2.2576,1132,731,802,1199,775,696,310,376,0.9,0.5788,0.5788,0.9
0,0,791,0,2.3105,0.6934,0.2172,0.2783,679,980,1243,934,521,248,571,813,0.5788,0.5788,0.9,0.5788
1,1,1691,2.7894,2.0852,1.369,2.6829,1.2442,906,1230,1013,679,272,495,816,600,0.9,0.9,0.5788,0.5788
0,0,436,0,1.4778,0.2777,2.9339,0.137,1192,1121,728,799,369,763,697,314,0.9,0.9,0.5788,0.5788
3,1,655,0.35,2.0964,1.7681,0.743,2.8044,882,1247,1019,680,274,476,818,596,0.9,0.9,0.5788,0.5788
3,0,609,0.4149,1.3084,1.1623,2.4875,0.1009,1241,868,693,1045,632,817,456,258,0.9,0.9,0.5788,0.5788
0,0,493,0,1.1389,0.1996,1.9054,0.547,1163,1144,757,775,353,752,738,335,0.9,0.5788,0.9,0.9
0,0,526,0,2.519,1.9247,2.791,1.6301,894,1241,1031,686,265,484,825,616,0.9,0.9,0.9,0.9
1,1,461,2.2719,0.2654,0.0516,1.9309,0.6708,1234,955,684,966,551,814,528,269,0.9,0.9,0.5788,0.5788
1,0,479,0.1126,0.7735,2.3813,1.8688,0.0153,1189,1120,720,786,384,761,709,319,0.5788,0.9,0.9,0.9
3,0,497,0.1364,1.9952,3.0078,0.7635,1.9756,1250,961,684,954,526,816,548,268,0.9,0.9,0.5788,0.9
1,0,417,2.279,0.5732,2.7584,2.4682,2.949,684,1046,1236,874,446,273,616,818,0.5788,0.9,0.9,0.5788
0,0,869,0,2.2563,0.4021,2.987,2.3086,1155,1163,770,760,333,736,737,359,0.9,0.5788,0.5788,0.9
2,1,879,2.4839,0.602,1.4145,2.142,1.4705,764,756,1154,1156,741,328,337,752,0.9,0.9,0.9,0.9
3,1,2665,1.9327,0.0731,0.3395,0.3372,0.8854,1166,766,746,1134,717,760,367,313,0.5788,0.9,0.9,0.9
0,0,475,0,0.43,2.0497,1.0371,3.0713,1211,1113,722,811,382,794,682,304,0.9,0.9,0.9,0.5788
0,0,436,0,1.0401,1.3216,1.5093,2.8583,1090,1215,832,710,289,669,789,406,0.9,0.9,0.5788,0.9
0,0,775,0,0.6643,1.0676,1.4429,1.6611,805,1185,1124,729,305,375,778,705,0.9,0.5788,0.5788,0.9
0,1,557,0,3.0013,1.5668,1.8994,2.2415,839,704,1076,1230,798,421,279,652,0.9,0.5788,0.5788,0.5788
0,0,1171,0,2.2337,1.0834,1.6889,2.3379,1090,694,843,1211,807,649,283,410,0.9,0.5788,0.5788,0.5788
1,0,504,2.9608,2.47,1.2574,2.6289,0.5122,678,883,1240,1045,619,280,459,815,0.5788,0.9,0.5788,0.9
4,1,1640,2.4047,0.174,2.7021,0.0244,2.2553,1229,1037,675,885,481,821,611,256,0.9,0.5788,0.5788,0.5788
2,0,579,0.208,1.6845,2.8098,0.74,1.5033,1115,717,801,1198,785,697,295,381,0.9,0.9,0.5788,0.5788
0,0,736,0,2.9484,1.4698,2.9317,3.0575,687,1022,1227,888,472,256,596,823,0.9,0.9,0.5788,0.9
0,0,535,0,1.7533,3.0994,2.4618,0.2772,758,1156,1152,764,347,354,736,728,0.9,0.5788,0.9,0.5788
0,0,735,0,0.1521,2.8589,0.3834,1.1111,691,924,1235,998,571,252,497,825,0.5788,0.5788,0.5788,0.5788
0,0,542,0,2.9218,0.1443,1.0352,2.251,893,682,1004,1244,815,489,266,595,0.9,0.9,0.5788,0.5788
2,1,517,1.9803,0.8286,1.8338,0.1159,2.8165,717,839,1209,1089,659,297,415,785,0.5788,0.9,0.9,0.9
0,0,517,0,1.3347,1.4276,2.9883,1.8314,791,1175,1128,747,322,352,761,726,0.5788,0.9,0.9,0.9
0,0,533,0,1.5258,2.7014,2.2878,1.7045,1172,1146,756,758,354,758,731,330,0.5788,0.5788,0.9,0.5788
1,1,508,1.4833,1.7746,2.045,0.7446,1.9695,1005,1226,897,686,262,589,806,490,0.9,0.5788,0.9,0.9
3,1,572,1.6396,2.7269,0.4106,1.1426,0.2798,700,835,1216,1087,651,285,419,809,0.5788,0.9,0.9,0.5788
1,0,481,2.9274,0.9171,0.6697,2.2682,2.2149,1242,1026,693,902,468,823,590,264,0.9,0.9,0.9,0.5788
0,0,755,0,2.3492,0.3966,2.0004,2.8386,712,1108,1209,812,405,295,675,774,0.9,0.5788,0.9,0.9
0,0,785,0,3.0173,0.3634,1.7631,1.4678,717,798,1205,1104,688,311,386,788,0.9,0.9,0.9,0.5788
1,0,518,0.2211,0.1417,0.7439,1.3537,2.6617,783,1178,1152,743,330,358,753,729,0.9,0.5788,0.9,0.9
0,0,366,0,1.5535,0.6945,2.7805,0.378,1022,1230,893,675,260,589,808,485,0.5788,0.9,0.9,0.9
0,0,724,0,2.2475,2.1941,0.5493,1.4778,1217,853,688,1058,647,794,440,279,0.5788,0.9,0.5788,0.5788
2,0,1163,0.3661,0.861,1.589,0.8261,0.0183,1098,698,833,1224,788,666,297,417,0.9,0.9,0.9,0.9
0,0,1001,0,0.4182,2.0906,1.1799,1.5785,786,1183,1134,741,305,368,759,710,0.9,0.9,0.9,0.5788
1,1,726,1.1563,2.4357,2.1904,3.111,1.8627,730,810,1184,1121,699,316,391,784,0.5788,0.9,0.9,0.9
1,0,565,0.4715,0.0294,2.6104,1.0525,0.845,771,737,1148,1181,749,368,312,721,0.5788,0.9,0.9,0.5788
1,0,747,2.7398,2.693,2.569,2.6088,1.368,1030,1246,898,695,260,600,808,464,0.9,0.9,0.5788,0.9
0,0,610,0,2.8702,1.8778,0.0216,0.8556,741,777,1176,1151,726,315,354,752,0.5788,0.5788,0.5788,0.9
0,0,558,0,0.5274,2.6165,0.4067,1.5458,1200,813,724,1101,698,784,382,296,0.9,0.9,0.9,0.5788
0,0,395,0,3.0876,1.4284,0.7959,0.1169,1079,1226,849,707,291,653,798,438,0.9,0.9,0.5788,0.5788
