target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
0,0,730,0,0.0693,2.6689,2.5372,1.7052,839,1216,1071,705,285,423,798,662,0.5696,0.9,0.9,0.9
0,0,681,0,0.3624,0.2698,0.4858,2.5201,1014,677,905,1246,827,602,254,467,0.9,0.5696,0.9,0.9
2,1,418,1.0482,2.4899,1.8443,0.2488,0.606,1235,915,681,1015,597,811,491,268,0.5696,0.9,0.5696,0.5696
4,1,1213,2.9782,2.1335,2.5043,0.7401,2.3632,1087,703,829,1219,781,667,296,415,0.9,0.9,0.5696,0.9
2,1,521,1.8942,0.5496,1.1181,2.7912,0.2173,814,712,1115,1199,783,376,315,689,0.5696,0.5696,0.9,0.9
0,0,464,0,2.1067,0.7099,2.5949,1.0182,940,1238,978,669,249,520,821,557,0.5696,0.9,0.5696,0.5696
4,0,497,3.0226,1.6253,0.8034,2.6792,2.5862,920,671,990,1250,817,503,263,559,0.9,0.9,0.5696,0.9
4,0,601,0.0621,2.1369,0.899,0.0967,0.8936,786,736,1144,1178,763,366,334,717,0.9,0.5696,0.5696,0.5696
0,0,549,0,0.3237,0.1521,0.5834,1.4855,955,683,968,1234,824,515,262,562,0.9,0.5696,0.9,0.5696
3,1,755,2.8436,0.6387,0.5629,0.9623,2.6713,1002,1229,908,684,272,573,822,487,0.9,0.5696,0.9,0.5696
2,0,569,2.7576,2.0928,1.3492,2.6688,2.0553,980,1249,952,670,264,555,828,535,0.9,0.9,0.9,0.5696
3,0,798,1.7879,0.6314,2.8363,2.8018,1.1865,688,964,1239,950,543,256,539,820,0.9,0.9,0.5696,0.9
0,0,707,0,2.7945,3.1096,1.0168,3.1021,1157,1184,773,747,331,724,744,361,0.9,0.9,0.9,0.5696
0,1,507,0,1.1815,1.3087,1.9468,2.0845,1183,1135,754,782,363,746,728,317,0.5696,0.9,0.9,0.9
1,1,786,2.6118,1.9328,0.9263,1.6282,2.3214,1248,962,668,944,526,825,543,260,0.5696,0.9,0.5696,0.9
0,0,551,0,2.145,0.3276,0.2623,0.0421,1110,714,830,1206,778,674,282,409,0.5696,0.9,0.5696,0.9
0,1,557,0,1.9351,1.7717,2.0994,1.0538,886,681,1017,1233,812,478,263,611,0.9,0.9,0.5696,0.9
1,1,691,1.4037,0.6329,0.2118,0.0005,1.9994,1219,877,687,1056,639,819,452,265,0.9,0.5696,0.5696,0.9
2,0,716,2.2061,1.325,2.2078,1.4787,1.2846,973,681,950,1234,815,548,248,516,0.9,0.5696,0.9,0.5696
0,0,3619,0,2.3853,0.7348,0.9071,0.0713,691,1043,1242,876,464,278,623,815,0.5696,0.5696,0.9,0.5696
0,0,902,0,2.4496,1.2462,1.1223,2.0718,787,1184,1147,732,320,372,755,712,0.5696,0.9,0.9,0.9
0,1,526,0,2.2218,0.7506,0.5522,0.7482,684,1008,1228,907,471,262,611,826,0.5696,0.9,0.5696,0.5696
3,0,534,2.5167,3.0285,1.0941,1.8802,2.2977,1174,774,747,1147,738,736,342,333,0.9,0.5696,0.5696,0.9
4,0,531,0.1566,0.8978,2.9256,2.5128,1.0401,1236,975,690,949,514,828,550,251,0.9,0.5696,0.9,0.5696
3,1,418,1.976,1.595,2.4539,0.911,1.7295,1084,1216,834,712,288,671,791,419,0.5696,0.5696,0.9,0.9
0,0,500,0,1.9893,0.4611,1.7762,1.2664,875,697,1058,1236,809,447,274,627,0.5696,0.9,0.9,0.5696
2,0,476,2.8102,2.1465,1.2806,0.1503,0.749,927,667,982,1252,829,527,257,568,0.9,0.5696,0.9,0.9
4,0,478,3.1271,0.0663,2.3146,2.62,2.6274,899,688,1019,1247,822,490,256,587,0.5696,0.9,0.9,0.9
3,1,447,1.4196,1.9757,2.0619,1.0301,1.4938,920,668,979,1246,814,503,247,581,0.9,0.5696,0.9,0.9
0,0,440,0,0.9731,0.3723,1.525,1.3046,1092,705,829,1193,782,687,293,408,0.9,0.5696,0.5696,0.5696
2,1,579,1.0951,2.8571,0.3727,2.9724,2.9124,805,728,1110,1191,779,376,302,711,0.9,0.9,0.5696,0.9
1,1,888,2.2183,2.8658,2.1487,0.952,2.299,688,1015,1232,916,503,258,582,809,0.5696,0.5696,0.5696,0.5696
0,1,704,0,2.2488,0.7685,2.318,2.852,1199,802,723,1125,704,768,395,302,0.5696,0.5696,0.5696,0.5696
0,0,488,0,2.6378,0.6528,1.3771,2.3,798,727,1121,1174,767,360,311,701,0.5696,0.5696,0.5696,0.5696
1,1,441,0.7332,0.887,2.5093,1.8439,0.948,683,1030,1227,887,457,280,620,806,0.9,0.9,0.9,0.5696
1,1,468,1.8298,1.7218,2.4526,1.7558,0.9478,894,1222,1037,686,257,478,820,609,0.9,0.5696,0.9,0.5696
1,1,437,2.5687,0.1655,1.9122,0.7632,1.754,1203,1074,713,847,408,792,660,281,0.9,0.9,0.5696,0.5696
0,0,416,0,0.4457,1.2767,1.8633,2.5427,912,1235,1015,684,274,498,816,583,0.5696,0.9,0.9,0.9
4,0,1379,1.7577,2.7471,1.0397,1.6289,1.4261,694,845,1206,1086,659,296,421,790,0.9,0.9,0.5696,0.5696
1,1,616,3.117,1.8447,1.7043,2.0235,1.8787,882,1226,1043,697,262,444,801,621,0.5696,0.5696,0.9,0.5696
0,0,490,0,0.6336,0.5896,2.7765,1.9836,1166,1173,752,758,327,742,734,336,0.5696,0.9,0.5696,0.5696
0,0,1219,0,0.4844,1.2203,0.9596,2.5798,679,1019,1231,912,491,266,589,822,0.5696,0.5696,0.5696,0.5696
2,0,1342,1.8619,0.8796,1.8945,2.7922,2.0208,1228,899,692,1025,600,806,487,262,0.5696,0.5696,0.9,0.9
0,1,564,0,1.5242,1.6276,2.4794,1.7944,1241,941,691,981,566,814,513,250,0.9,0.5696,0.5696,0.5696
0,0,562,0,0.3203,1.1636,2.8736,3.1384,723,834,1220,1105,667,288,415,795,0.9,0.5696,0.9,0.9
4,0,486,1.3226,2.8932,2.784,2.7629,3.0484,1235,960,686,966,541,818,533,256,0.9,0.9,0.9,0.5696
0,0,1336,0,0.147,1.3843,2.4544,3.1138,1195,792,740,1128,706,780,380,301,0.5696,0.9,0.9,0.5696
4,0,718,0.1118,2.2348,1.685,1.8435,0.6627,810,1204,1107,718,309,394,776,693,0.5696,0.9,0.5696,0.5696
2,1,566,1.908,2.263,2.6849,0.9666,0.4926,819,709,1096,1215,785,401,279,661,0.9,0.5696,0.5696,0.5696
2,1,731,1.5921,2.2884,1.3047,0.3727,1.8732,963,673,972,1253,830,523,251,536,0.5696,0.5696,0.5696,0.5696
0,0,538,0,0.0145,0.0966,1.1835,0.52,688,1052,1229,863,452,274,640,815,0.9,0.9,0.9,0.5696
0,0,1024,0,2.3993,2.3175,1.9981,0.7827,1249,989,677,922,508,828,580,269,0.5696,0.5696,0.5696,0.9
