target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
1,1,348,1.2151,0.8742,1.0674,0.9027,0.5369,791,1188,1127,738,316,374,767,702,0.6309,0.9,0.9,0.9
0,0,332,0,1.4167,2.0109,0.4148,1.4226,1185,1124,728,805,383,770,701,316,0.9,0.6309,0.6309,0.9
0,0,372,0,0.6396,1.6334,0.1691,2.7086,868,1227,1068,685,283,443,808,636,0.9,0.9,0.6309,0.9
3,1,369,1.4795,1.043,2.6382,1.1678,2.6019,707,840,1215,1088,670,278,421,782,0.9,0.6309,0.6309,0.6309
4,1,767,0.8828,0.4339,1.5953,2.6913,1.2074,1217,1056,690,874,447,813,631,276,0.9,0.6309,0.6309,0.6309
1,1,293,1.3375,1.4687,0.444,0.2141,2.2439,696,1054,1220,854,438,286,633,799,0.9,0.6309,0.9,0.9
0,0,638,0,3.0838,1.5607,0.0704,0.1691,749,773,1179,1147,710,329,363,749,0.6309,0.6309,0.6309,0.9
2,0,424,0.8453,1.5061,2.8229,2.9365,2.5695,1232,1037,692,895,468,821,603,262,0.9,0.6309,0.9,0.6309
0,0,604,0,0.8791,1.4043,1.8459,2.7572,909,1227,1011,691,274,485,819,605,0.9,0.9,0.6309,0.6309
0,0,416,0,0.7643,1.7951,3.0842,2.6694,675,1013,1238,890,488,258,589,816,0.9,0.9,0.9,0.6309
3,1,348,0.3745,1.7884,0.7815,1.0031,2.8614,1149,757,785,1174,757,735,316,359,0.6309,0.9,0.9,0.9
1,1,555,0.6279,2.6113,2.8976,1.0274,2.5261,1022,1233,881,681,258,612,825,466,0.9,0.9,0.9,0.6309
3,1,449,0.8318,0.4581,2.8442,2.0112,0.5119,1071,1216,850,699,270,651,791,433,0.6309,0.6309,0.9,0.9
2,1,412,0.596,1.8758,0.9356,0.3927,1.2201,1229,848,691,1067,668,800,416,271,0.6309,0.9,0.6309,0.6309
0,0,376,0,0.1566,1.715,2.9631,1.0099,1228,871,683,1058,630,810,449,275,0.9,0.6309,0.6309,0.6309
4,1,365,2.4467,2.6885,2.1074,1.6449,0.9388,1221,1052,693,869,451,815,620,280,0.9,0.9,0.6309,0.6309
0,0,779,0,2.1917,0.6399,2.0933,1.3919,834,1224,1085,705,283,422,802,646,0.6309,0.6309,0.9,0.6309
0,0,392,0,1.6556,2.8093,2.4453,0.2179,694,1008,1243,920,496,269,582,819,0.6309,0.6309,0.6309,0.9
0,0,797,0,2.4598,1.7801,2.5488,1.812,1052,704,854,1214,794,642,279,436,0.9,0.6309,0.6309,0.9
0,0,482,0,1.8725,2.5402,3.093,2.7832,682,908,1230,1024,600,263,472,811,0.9,0.9,0.6309,0.6309
0,0,523,0,2.7443,0.3559,1.1139,0.7601,1056,1231,859,692,265,645,799,432,0.6309,0.9,0.9,0.6309
4,1,1242,0.1727,0.5243,2.8372,0.3303,2.3408,1244,998,691,935,493,825,575,261,0.9,0.9,0.9,0.9
0,0,637,0,2.2019,0.0196,1.176,2.8321,714,1071,1210,831,425,273,652,800,0.6309,0.9,0.9,0.9
0,1,544,0,2.6162,2.2828,1.6642,2.6046,990,1244,931,690,250,549,820,515,0.6309,0.6309,0.9,0.9
0,0,447,0,0.9563,3.0401,2.8148,0.597,963,681,971,1232,830,529,267,554,0.6309,0.6309,0.9,0.9
0,0,410,0,1.9249,0.945,2.5074,2.4996,1238,905,671,1006,607,810,476,251,0.6309,0.6309,0.9,0.6309
0,1,678,0,1.1926,1.0024,3.0978,2.2562,806,1214,1113,725,287,390,771,691,0.6309,0.9,0.6309,0.6309
0,0,383,0,1.2061,0.8175,2.7567,2.5324,892,1237,1036,696,256,475,813,608,0.9,0.6309,0.9,0.6309
